Style,Progression,Transposable
Blues,I-V-IV-IV-I-V-I-V,yes
Pachelbel,I-V-vi-iii-IV-I-IV-V,no
Romanesca,III-VII-i-V-III-VII-i-V-i,no
Popular,I-V-IV,yes
Popular,I–V–VI–IV,yes
Popular,I-IV-V,yes
Popular,I–VI-III-VII,yes
Popular,I–vi–IV–V,yes
Popular,vi–V–IV–V,no
Popular,I-IV-vi–V,yes
Popular,I–V–IV–V,yes
Popular,I–IV–bVII–IV,no
Popular,I-V-vi-iii-IV,no
Popular,I-bVII-IV,no 
Popular,i-VII-VI,no
Popular,I-VI-II-V-I,yes
Rock,I–I–I–I–IV–IV,yes
Rock,I–I–V–V–I–I,yes
Rock,V–VI–I–V,yes
Rock,I–vi–IV–V,no
Rock,I–V–vi–IV,yes
Rock,ii–IV–V,no 
Rock,I–IV–V–IV,yes
Rock,V–IV–I,yes
Rock,vi–IV–I–V,no
Rock,vi–V–VI–V,no
Rock,vi–V–IV–III,no 
Rock,ii–I–V6–bVII,no 
Rock,ii–I–V6–VI,no
Alternative, VI-IV-I-V,yes
Dreadful,I-VI-IV-V,yes
Endless,I-VI-II-IV,yes
Energetic,I-III-IV-VI,yes
Folk,I-V-I-IV,yes
Folk,I-VI-I-IV,yes
Flamenco,VI-V-IV-III,yes
Flamenco,VI-V-VI-V,yes
Grunge,I-IV-III-VI,yes
Rebellious,IV-I-IV-V,yes
Wild,I-IV-I-IV,yes
Jazz,II-V-I-V-I,yes
Love,I-IV-V-IV,yes
Nostalgic,I-IV-I-V,yes
Sad,I-IV-V-V,yes
Sad,I-V-IV-IV,yes
Sad,I-IV-V-IV,yes
Sweet,V-IV-I-I,yes
Sweet,I-IV-I-IV,yes
Sweet,I-V-V-I,yes
Wistful,I-I-IV-VI,yes
Moody,II-I-V-VII,yes














